################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         42   5.3883710075499594E-04   4.2680521372314862E-03   1.9113964271387379E-03   3.4017547523817327E-04
         2         43   1.7729343785855768E-03   2.5937170794173264E-02   1.3530596969175206E-02   2.0171853366363693E-03
         2         44   6.5400150619553122E-08   1.9037809660403865E-03   2.6774652320834467E-04   9.0826953696690861E-05
         2         45   2.1385018560348960E-05   8.1309613159112892E-03   3.9407804822599053E-03   7.4545251502396788E-04
         2         46   1.9657829974801315E-04   2.6726766399311126E-03   9.6032528616367223E-04   2.1746170074815293E-04
         2         47   1.8403546093292199E-05   1.6764319552114718E-02   1.3386020220840166E-03   1.0460646656471697E-03
         2         48   9.6062981450152878E-04   2.0190159053320725E-02   1.1007582294012722E-02   1.6213318219515695E-03
         2         49   1.9170497858674188E-03   1.0653240821432170E-02   5.3710997027459429E-03   7.5877063407208507E-04
         2         50   1.9932709840194155E-06   6.9371951229247756E-03   1.0578442704654864E-03   4.1191561184211636E-04
         2         51   1.2847117549562894E-04   1.2584339498097678E-02   6.5245650410732138E-03   1.2297610716967486E-03
         2         52   4.9021868929576917E-04   4.0955640078293868E-03   1.7811563681987379E-03   3.2330487419669724E-04
         2         53   4.3391372990744887E-07   3.7567813924794420E-03   4.9438473366254700E-04   1.8016391519173625E-04
         2         54   2.5336838433026132E-04   2.5571437529427420E-03   1.0630864465013801E-03   2.1340528057941924E-04
         2         55   7.3819378323781202E-06   1.5318803685527351E-02   1.1609754191164749E-03   8.2722281384669898E-04
         2         56   8.9050019308212344E-04   1.7287307728254597E-02   8.2923400843618825E-03   1.4073646118705142E-03
         2         57   1.1986052763434214E-03   8.4736566500943026E-03   3.6478699720277523E-03   5.8925005518936917E-04
         2         58   1.7436755295918902E-08   1.3044720932322068E-03   1.3367111495751364E-04   5.0873775990177706E-05
         2         59   6.7918389055547049E-06   5.4775361672567786E-03   2.4498648723981211E-03   5.2033890663886247E-04
         2         60   9.7487796674008620E-05   1.6249375886321208E-03   5.4617868622019203E-04   1.3231678329137276E-04
         2         61   5.2570834842323833E-06   1.1137490857633424E-02   6.4648365786052864E-04   6.0687192623308127E-04
         2         62   3.9475674531029407E-04   1.3465177072730717E-02   6.7912017578358906E-03   1.1523307353673293E-03
         2         63   9.1783260631576034E-04   6.4906026421621245E-03   2.9522778779474076E-03   4.7621727648526553E-04
         2         64   1.6148775389323261E-07   3.5135455847942650E-03   2.8238266684005011E-04   1.4751867485727853E-04
         2         65   1.1066059643051344E-04   1.5645164081949125E-03   5.5015030185954735E-04   1.2602941324916218E-04
         2         66   8.5790162427792373E-04   9.6538135147979133E-03   4.1392061229942349E-03   8.6142872687025801E-04
         2         67   3.7970453648332084E-04   3.7494696532237586E-03   1.3378014654429828E-03   2.6085040511369728E-04
         2         68   3.3523931831078609E-08   1.9601239114306339E-03   1.3131762163087348E-04   6.3842246973054939E-05
         2         69   3.0257421339793890E-06   4.2208908960688499E-03   1.7943526838563289E-03   4.4875249922225394E-04
         2         70   1.2676057805495984E-09   6.5919848207646225E-04   3.4588986626884706E-05   1.7089648182118167E-05
         2         71   6.9438086622777914E-07   2.5384660129328198E-03   9.8497129264861288E-04   2.5755913592505445E-04
         2         72   2.3345861349547627E-05   6.0822217388702734E-04   1.7855427546207363E-04   5.0025901567269851E-05
         2         73   4.3069461824247707E-07   5.3694525537807273E-03   1.6779238386465696E-04   2.2101324334138978E-04
         2         74   7.1494691822275225E-05   6.4181246740687486E-03   2.7229499282278120E-03   5.9931517891954683E-04
         2         75   2.1763847370138986E-04   2.4761484699078119E-03   9.2402690989955934E-04   1.8649350853798313E-04
         2         76   1.1223008001823129E-09   9.9339022008563486E-04   2.3520559862705870E-05   2.2774554454279959E-05
         2         77   3.4442408945908066E-06   1.5009594571757251E-03   4.6289135803194702E-04   1.5935362994740499E-04
         2         78   6.0636024770181810E-06   2.8081756546670877E-04   5.8364627998232856E-05   1.9370934619358938E-05
         2         79   2.1664316630593132E-10   5.7069973280433884E-04   1.0594622168837296E-05   9.6165828133760621E-06
         2         80   1.4699578670887477E-07   1.0352753143861926E-03   3.1495021716340226E-04   1.1227893082436187E-04
         2         81   2.5713949339597644E-06   1.6659341731587558E-04   3.6679158337982217E-05   1.3204661607638696E-05
         2         82   4.4628907159484937E-09   2.0339035521262845E-03   2.7340531114016034E-05   4.9335275408335028E-05
         2         83   3.7725515599627869E-05   2.2340225280829723E-03   5.8020990107627722E-04   1.8651602672193138E-04
         2         84   1.8542758735910502E-05   4.9905784283384516E-04   1.1932582912017029E-04   3.3883463722318107E-05
         2         85   7.4676513086600179E-12   1.9386245540899748E-04   2.6192700412121332E-06   2.4904828418201164E-06
         2         86   8.1613229933475304E-09   5.8336132906895645E-04   1.7067868997498116E-04   6.2114324059035962E-05
         2         87   1.2258076081599525E-06   9.4831800646000996E-05   1.9785860414483112E-05   7.3592380402770854E-06
         2         88   3.8095004612213843E-06   1.7399768032246292E-03   4.7884201087797256E-04   1.5615343337207295E-04
         2         89   1.3344430490223272E-05   3.9526089254831643E-04   9.9106502394204237E-05   2.8395620181524352E-05
         2         90   5.9705458144107547E-14   8.6757682155931226E-05   2.6107015890428860E-07   1.0737680609098343E-06
         2         91   5.4176089367221718E-08   1.1498631596542833E-04   1.5854016561295996E-05   9.1489897593188111E-06
         2         92   2.0984267801777880E-08   1.0133253295738533E-05   7.6065529263398945E-07   4.3106432716650987E-07
         2         93   1.4724016893461876E-06   2.4463798163400788E-04   2.5388641422976434E-05   1.3488614957405912E-05
         2         94   1.1546637334373396E-07   1.7378781057051435E-05   1.8368077600070957E-06   8.4971173824750134E-07
         2         95   1.0554329905580249E-14   5.0584432288730896E-05   1.0566779925706106E-07   4.7304758443111689E-07
         2         96   1.6785242836614204E-09   7.5419127107253966E-05   1.0611359019732396E-05   6.2343031680929723E-06
         2         97   7.8569371424592787E-09   6.2225924296564936E-06   4.7940402486382189E-07   2.9300720899483626E-07
         2         98   2.2974245843686995E-13   2.1257806249704456E-04   4.1793856161858696E-07   2.5329109321472116E-06
         2         99   8.4305257643547197E-08   1.5292559183770413E-05   1.5555564922369290E-06   7.4646317614011874E-07
         2        100   3.3378183213387396E-16   1.7272663425453584E-05   2.2467551475420729E-08   1.3622745969898323E-07
         2        101   3.7180938941161441E-12   3.5326052248822849E-05   5.5952565220188152E-06   3.2677338969302914E-06
         2        102   2.8038165416497719E-09   2.4768835251939526E-06   2.5860647486210312E-07   1.5479304035016775E-07
         2        103   1.5594772938537648E-13   1.6052415888321957E-04   2.5723157775867834E-07   1.9470780169642998E-06
         2        104   6.9390998434653258E-08   1.5664784033385840E-04   1.6491814207304465E-05   9.4461861500374001E-06
         2        105   5.6740633612881042E-08   1.2188247410321940E-05   1.2943082913178611E-06   6.2549355408767363E-07
         2        106   1.7137881624537229E-03   1.3499957339801713E-01   4.8717137990994072E-02   8.7872026374733042E-03
         2        107   1.6952308143407858E-02   2.4175288762104999E-01   1.2138405448674414E-01   1.3388190742569970E-02
         2        108   2.4314865053535594E-02   7.9019963861582290E-02   4.3169654241994204E-02   5.0096526199987102E-03
         2        109   4.7116247234195088E-04   6.3709945334315718E-02   2.2726870054317370E-02   4.0943510657032514E-03
         2        110   8.0412857597414247E-03   1.3940506778753745E-01   7.4143007199905214E-02   7.6699511323793362E-03
         2        111   1.0178874154235263E-02   4.1094929165885329E-02   2.1731105589451655E-02   2.8499508930326565E-03
         2        112   5.7100843400265645E-02   3.7077876841696972E-01   1.9824918413530163E-01   2.4346300177787730E-02
         2        113   5.9826306932695458E-02   1.5210018899045008E-01   8.8334306717438124E-02   8.4060517148355773E-03
         2        114   8.2077122020274772E-04   8.9015662760012840E-02   2.9321341438584034E-02   5.7554762687662244E-03
         2        115   9.3676889378220638E-03   1.6071322008635830E-01   7.9322088062209750E-02   8.9330622723521307E-03
